asin, nreviews, p1star, p2star, p3star, p4star, p5star, title
B000PLUZL8,407,5,17,63,5,7,"Salicylic Acid 20% Gel Peel, 30ml (Professional)"
B000F63TW0,301,2,17,69,4,5,Olay Regenerist Microdermabrasion 2.2 Oz & Peel System Skin Care 2.0 Fl Oz
B00008CMOS,264,3,18,66,8,3,Queen Helene Facial Masques (Masks)
B0007W1R58,234,8,19,58,6,6,"Olay Regenerist Night Recovery Moisturizing Treatment, 1.7 Ounce"
B00027DMI8,227,7,15,49,10,17,"RoC Retinol Correxion Deep Wrinkle Night Cream, 1-Ounce"
B000EPA4FW,223,8,22,51,7,9,Neutrogena Complete Acne Therapy System
B00027DMSI,203,5,22,52,5,13,"Frownies Forehead & Between Eyes, 144 Patches"
B000KK53L6,200,7,20,56,4,12,AcneFree Severe Acne Treatment System
B0006M5566,197,5,10,73,4,7,eb5 Facial Cream
B0009RFB76,161,8,17,45,13,15,"RoC Retinol Correxion Eye Cream, 0.5 Ounce"
B000052YOB,142,7,21,41,12,16,Mederma Scar Gel
B00008ZPGA,140,7,17,65,5,5,Olay Regenerist Daily Regenerating Serum
B000FBNV1Y,139,11,38,18,23,7,"Nature's Gate Organics Acne Treatment System with Oligopeptide-10, (1 acne treatment system)"
B000PNTQW0,125,4,20,57,12,4,"Glyco-Lac/60, Level 2 Gel Peel -30 ml/1 fl oz"
B000B6VIPY,112,13,15,44,11,15,Princereigns Shaving Gel Used to Remove Ingrown Hair and Razor Bumps
B000G8LWZI,108,7,13,66,4,7,Alpha Hydrox AHA Souffle Soothing Anti-Wrinkle 1.6 oz.
B000052YJL,107,6,26,51,5,10,Johnson & Johnson Johnsons Clean & Clear Persa-Gel
B00006JT6O,98,2,24,52,15,6,Olay Total Effects Night Firming Cream for Face and Neck
B0000Y3COC,97,1,17,67,5,9,PanOxyl Bar 10%
B00005NFBJ,84,5,19,54,10,9,Freeman Freeman Facial Peel-Off Mask With Cucumber
B0000535CH,81,6,20,60,3,8,"Nature's Cure Two-Part Acne Treatment System, for Women, 1 month supply (60 Tablets, 1 Ounce Cream)"
B0007RXGZM,72,4,15,72,5,2,Borghese Fango Active Mud Face and Body
B000052YJX,69,13,31,34,4,15,"Neutrogena On-The-Spot Acne Treatment, Vanishing Formula, 0.75 Ounce"
B00068CG3U,67,7,14,67,7,2,Philosophy Microdelivery Purifying Peel
B000EGMHKQ,67,10,13,73,1,1,Olivella Moisturizer Body Lotions
B00005K9CK,67,5,13,62,7,10,"Neutrogena Healthy Skin Anti-Wrinkle Night Cream, 1.4 Ounce"
B00016R5IS,66,7,6,72,6,7,Reviva 10% Glycolic Acid Night Cream
B000KFUEG0,66,0,28,69,1,0,"Prodyne M-912 Stainless Steel Spice Rack, 12-Bottle"
B0000AN9LA,65,9,16,56,10,6,Klear Action Acne Treatment System - 1 System
B000PNTQS4,62,12,12,51,12,9,"Lactic Acid 70% Gel Peel, 30ml (Professional)"
B0000YV83O,62,3,9,72,6,8,Facial-Flex Facial Excercise System
B0009EILUI,60,8,13,61,11,5,Citrus Facial Scrub
B0000632EN,60,6,10,65,3,15,"Aveeno Positively Radiant Skin Brightening Daily Scrub, 5 Ounce"
B000GFSVK0,60,15,16,58,3,6,Source Naturals Skin Eternal Cream
B0000534VO,59,6,28,50,5,8,"Clean & Clear Continuous Control Acne Cleanser, 5-Ounce Tube"
B000PNXBU8,58,1,18,63,3,12,"Lactic Acid 50% Gel Peel, 30ml (Professional)"
B00027DDOQ,58,6,13,48,22,8,"Clean & Clear Clear Advantage Acne Spot Treatment, 0.75-Ounce Tube"
B000PKYC68,56,5,23,66,3,1,Dermalogica Active Moist Moisturizer (select option/size)
B000CONLRI,56,3,7,51,8,28,Prevage MD Anti-Aging Treatment 30ml 1 Fluid Ounce
B000PKZG22,55,3,20,61,9,5,Dermalogica Age Smart Multivitamin Power Firm 0.5oz
B0002UEDWE,53,0,11,75,9,3,Mineral Water Spray
B000052YJM,53,9,18,58,3,9,"Clean & Clear Oil-Free Dual Action Moisturizer, 4-Ounce Pump Bottle"
B000BZB1FC,53,5,11,71,7,3,Mary Kay Extra Emollient Night Cream
B0000535CI,53,5,18,60,9,5,Nature's Cure Two Part Acne Treatment System for Males (1 Month Supply)
B00005BHRQ,52,3,19,67,3,5,"Neutrogena Visibly Firm Night Cream, Active Copper, 1.7 Ounce"
B000052YOL,52,7,17,63,7,3,"Neutrogena Healthy Skin Anti-Wrinkle Cream, SPF 15, 1.4 Ounce"
B000GFSVOQ,52,5,15,51,9,17,Source Naturals Skin Eternal DMAE Cream
B000052YM3,51,5,19,60,5,7,Alpha Hydrox AHA Enhanced Cream 2 oz.
B000MANVXG,50,10,20,48,8,14,Dove SkinVitalizer Facial Cleansing Massager with 1 Massager and 6 Exfoliating Pillows
