asin, yr, month, rating, yeshelpfulnessvotes, totalhelpfulnessvotes, wordcount, summaryreview, fullreview
B000KK53L6,2008,4,5.0,3,3,242,"excellent product","i am 44 years old and have suffered with severe breakouts for all of my adult life. i have tried everything from proactive to expensive prescription meds and very fancy dermatological treatments and peels. i don't see my dermatologist anymore, though he was sweet. perhaps if he were cuter... i digress. my skin was becoming worse with pustule breakouts all along my nose and chin. i felt embarrassed to leave the house since i didn't want anyone to see me. i tried the acne free severe treatment and i started to see results within a few days. in two weeks my skin had cleared and within a month was cleared completely. my skin is not sensitive so i didn't experience any burning or itching. i think that the negative reviews on this product are from people with overly sensitive skin. there's nothing that works for everyone, but it's great for me. i've been using it for over five months and while i'll get an occasional pimple it's completely manageable. all the other things i've used worked initially but stopped working after only two or three months.  the last skincare regimen i used cost over $1100. it worked a full four months before losing its potency. i'm going to try switching over to the regular acne free kit for maintenance to be sure my skin doesn't somehow get ""used"" to the acne free severe. try this, i hope it works out for you."
B000KK53L6,2008,1,5.0,3,3,113,"Be patient, it really works.","I used this product after using Proactiv for a year and trying other products. Proactiv seemed to allow horrible breakouts to occur, but clear them up sort of quickly. I happened to be looking for Proactiv at Walgreens when I stumbled upon this and decided to give it a try. It made my skin very dry in the beginning, but after the purchase of a non-oil based moisturizer, it works much better than Proactiv has ever done. I receive compliments about how clear my skin is frequently now. So, if you're going to do it, purchase a nice moisturizer and give it a week or two, following the steps carefully. You'll be satisfied."
B000KK53L6,2007,3,5.0,3,3,184,"This product really works.","I have tried it all and this is the only product that has worked for me.  I came across Acnefree while traveling through the U.S. last November and I have to say it is the best investment I ever made for my skin.		I normally don't have the patience for a beauty regime that involves more than a couple of products so when I saw 4 items in the package I was skepticle whether I would stick to following the routine.  It really is very simple to use and doesn't take more than a few minutes to apply after the skin has been cleansed.		I would say within a couple of days after commencing use of the products my breakouts were reduced to almost nil and shortly thereafter the problem was completely cleared.  My skin is still somewhat oily by the end of the day but my pores no longer get blocked.		Thank you University Medical for making a product that actually delivers on its promise, is very reasonably priced and has given me the beautiful complexion I have tried for years to attain."
B000KK53L6,2011,11,5.0,5,6,1145,"Fast resuts!!!!","I'm now 22 years old, and I've been struggling with acne for most of my life. I've tried everything from Proactive, to prescription pills, topical medicine from dermatologists, and most recently, MaxClarity. I wouldn't say that I have extremely severe acne, however I am constantly plagued with cystic acne, whiteheads, or just ugly clusters of pimples. My acne usually forms around my mouth, chin and sometimes  my cheeks and will typically take weeks to heal. When I break out, my self esteem is pretty much non-existent and I hate going out because I think the only thing people see is my acne!!! Most recently I found temporary success using MaxClarity. MaxClarity made my skin soft, and at some points I was completely pimple-free, it was amazing! However, my clear face was short-lived, and I'd have a horrible acne flare-up that would take weeks to heal. In addition, I would always break out regardless during that time of the month. I was able to put up with the roller-coaster success of MaxClarity because sometimes I would have perfect skin that would boost my confidence...however, in the past couple of weeks my acne has been the worst it's EVER BEEN!!! I began to question whether my skin could no longer be helped by MaxClarity. I became desperate for another skin regimen. I've read though probably hundreds of amazon reviews for various acne products trying to find something that might work. That is when I stumbled on Acnefree Severe. I read all of the amazon reviews for this product and decided it was the most feasible to get in a short amount of time to start treating my horrible acne ASAP, plus it had the most positive reviews of any acne product. Now, I'm nearing the end of the first week of using Acnefree Severe. I have to say, so far, it seems awesome!!! Within the first 2 days, I could see that it was starting to dry out my pre-existing acne. Within 4 days, the acne inflamation was almost 90% decreased!!!! My face is looking clearer already. I've been following the instructions dilligently, and just today purchased the spot acne treatment and sulfur mask to see if that will speed up results. Ultimately, I can say that for only 5 days of use, I'm already seeing results!!! I'm hoping that within 2 weeks my skin will be completely clear (seeing as how my progress is now). While I am still forming a few pimples (although less red, not cystic, and not as obvious), I assume that this is just a result of Acnefree purging my face of any soon-to-form acne. My face is feeling soft, my acne is less red and inflamed and easy to cover up with make-up. I've rarely seen a product produce noticeable results in such a short amount of time after using it. Ultimately, I would suggest this product to anybody that can have fairly severe breakouts, but breakouts that have been temporarily manageable in the past. The chemical strength of Acnefree is probably NOT ideal for somebody with the occasional pimple or hormonal flare-up. I'm really hoping that this product works in the long run! I will make sure to write another review in a couple weeks to document the affectiveness of this product. As someone who has been struggling with acne for years and wondering why I'm not the lucky girl that has pimple free skin with no effort, I hope this product works!!!		It has now been about 4 weeks since I started using Acnefree Severe. For the record, my skin looks amazing!!!! My previous breakouts are completely cleared up at this point, and any acne marks are noticeably faded/continuing to fade. For anyone beginning to use this product, GIVE IT TIME. Even if your skin isn't responding to the product as quickly as others, it seems as if AcneFree takes time (although honestly not that much compared to other products) to fully clear skin. One absolute recommendation when using this product is to use a VERY GOOD moisturizer day and night. The strength of the chemicals will likely dry out and irritate most peoples' skin, so a oil-free, strong moisturizer will help combat that dryness. In addition, after a couple weeks of use I noticed that the Step 4 retinoid cream wasn't doing much for my skin, in fact it seemed to make my forehead break out a little. I changed the routine so I use Steps 1 & 2 at night, and then apply the acne spot treatment (sold separately) to any acne. This allows me to skip the 10 minute waiting time after application of Step 2, and it seems to be helping my skin along even more. However, this may not work for everybody, so I would recommend experimenting with this step if you find Step 4 isn't useful. As someone who has been struggling with acne for so long, I couldn't be happier with the results AcneFree Severe has given me. At this point, I would STILL recommend AcneFree to anyone similarly struggling with acne and self-esteem. I hope this product works for you too!!		3/6/12	It has now been almost 3 months since I started using this product. Let me just say, that as someone who has struggled with acne for SO LONG and have broken down crying because of the horrible acne on my face, I can say now that my face is the best it has ever looked! I still use steps 1,2&3 in the morning, 1&2 at night with the Acne Spot Treatment. So far, my skin has been almost 100% clear, with only a few pimples arising now and then. I find that using the acne spot treatment at night instead of step 4 clears up any stray pimples extremely quickly (2-3 days). I would still absolutely suggest using a good moisturizer morning and night to combat the dryness of the benzyl peroxide. When I had horrible acne before, I'd have to constantly run to the mirror to cover up my spots with concealer, in addition to wearing lots of foundation. Now, my skin looks amazing with just a thin layer of light foundation and a little bit of concealer to cover up fading acne marks, plus it looks good ALL DAY. I am no longer self conscious and can be more myself without worrying about how people see me. If you are struggling with frequent breakouts that don't seem to be clearing up, I would HIGHLY SUGGEST THIS PRODUCT. It is absolutely amazing, I can't even say enough about it. The key to any acne product is that it works in the long term, and so far it seems to be doing just that. Please please please give this product a try because I have a feeling it will help you just as much as it helped me :)"
B000KK53L6,2012,2,5.0,2,2,223,"Sooooo happy!  Use sparingly.","I have been having problems with acne, mostly my cheeks and chin area, after stopping birth control age 28.  I was miserable and embarrassed by my face. I am soooo happy that I bough Acnefree Severe.  In just 3 days my face it 80% completely clear.		I was scared from some of the reviews about it being really harsh on skin, peeling, burning etc.  If you just take it kind of slow at the beginning and use only the minimal amount each time then you should be fine.		The first day I only used 1,2,3 day and night to get my face introduced to it.  The the second night I used 1,2,4 (do not use 3 and 4 together).  Also, be sure to apply sparingly.  A little bit goes a long way. Dab a small amount and use one or two fingers to massage it.  I think if you oversaturate your face with this stuff you can actually cause damage and/or experience a worsening effect before it gets better.		In the beginning if you do get irritated red spots just use 1 and 2 on that area until it settles back down before you start putting 3 or 4 in that area again.		The scars/blotches on my face are disappearing.		My husband noticed my face looked better in just one day.		Love it!!"
B000KK53L6,2012,0,5.0,2,2,228,"This is a miracle in plastic containers!!!","I've only been using this product for 8 days. Some people may say it's too soon to review; however, ""some people"" do not have acne as bad as I DID. I've got that- ""made an appt. with a dermatologist, but he was too busy to see me so I had to see the physician assistant instead; when I got to the office, she took one look at my face and said """"oh my God, I've got to get the doctor for this"""" -kind of skin. I have cystic acne combined with REALLY sensitive skin. I can't even spray perfumes on certain parts of my body without it breaking out really, really bad. Complete strangers walk up to me and ask me what am I using on my skin. How embarrassing is that? I wake up EVERY morning with whiteheads and/or blackheads on my face. My chest and back look like my face x20. Antibiotics,Proactive,and Murad only made the situation worse. I stopped eating fatty foods and I lost weight, but the acne continue to get worse the older I get. I drank only water for months at a time, but that did no good. Finally, hundreds of dollars later, I decided to give this product a try. This is the best my skin has looked in over 15 years. I was a skeptic, but trust me, this works."
B000KK53L6,2011,10,5.0,2,2,98,"Great product!","I've had severe acne problems since HS and I could never get rid of it even into adulthood. I did use Accutane, but stopped because I was not fond of the side effects. This product has been great! After a week of using the product, I noticed a HUGE difference in my skin. After a few weeks following the directions, my acne cleared. My friends and family commented on how quickly my acne went away. Since I do not want to strip my skin, I now use the product once every other day as part of my regimen."
B000KK53L6,2011,9,5.0,2,2,827,Amazing!,"I never leave reviews but given how much I rely on reviews, I figured it was about time I started contributing!		I had fairly heavy acne growing up, especially in my t-zone, which came under control when I began birth control pills when I turned 18.  For the past 10 years, I have been fortunate enough to not have difficulties with acne except for the occasional zit.  However, a few months ago I stopped taking birth control and I was dismayed to see that the acne had returned, albeit not as bad as when I was a teenager, and had moved more to my jawline/cheeks.  I began washing religiously and using toner but it didn't seem to make a difference - as soon as one would go away, two more would pop up.  At 28, I felt that I was TOO OLD to be having these problems!  But there they were.		I tried ProActiv for a month and was pretty pleased with the results.  It cleared the majority of my acne and the big cystic ones stopped coming.  However, I was still regularly getting very small zits which would typically clear within a few days.  All in all, I was pleased and figured I could deal with the occasional small zit that could be covered relatively easily with make up.  After about 3 weeks, I noticed that my supply was getting low and it was time to re-order.  I wasn't crazy about spending all that money, but was happy with the results so I was ready to do it......until I read the reviews for Acne Free Severe.		I was hesitant to try it.  I didn't want to go back to the way my skin was and I figured if I was pleased, why rock the boat?  In the end, I decided if I was going to get a long-term regime, I should at least try the product that was MUCH cheaper than ProActiv and I am SO HAPPHY that I did!		Within 3 days of using AcneFree, it cleared the small zits that ProActiv couldn't seem to keep under control.  I have been using AcneFree day and night for the last 5 weeks and have not had a single new zit.  It also seems to be lightening the scars left from previous breakouts.  I have not had the problems of the product severely drying out my skin as others have noted.  I use steps 1 and 2 each morning when I wake up and each evening.  In the mornings, I follow with step 3 and at night, I skip step 3 and use step 4.		A few observations:	- AcneFree is not great at removing make up.  I have to start with a make up remover (I use Neutrogena Fresh Foaming Cleanser) or I have to use 3-4 pads with toner on it to remove everything.  If I start with the make up remover and follow with the 3 AcneFree steps, I get a great cleaning and starting with the make up remover only adds a minute to the routine.	- I was a bit concerned after switching from ProActiv to AcneFree because I felt the AcneFree wash did not have as many grains as the ProActiv and was concerned that it wouldn't work as well - it works BETTER.  If you're switching from ProActiv, don't let that concern you.	- AcneFree didn't come with the many instructions provided by ProActiv.  Having using ProActiv, I knew that I needed to wash with a dime sized amount.  I wonder if those who have had issues with this product drying their skin out are using more than that?	- AcneFree will bleach your clothes or towels if you're not careful.  Its not as obvious as when you get cleaning products on your clothes that have bleach on it, but I do notice a slight fading on some of my towels.  I don't particularly mind because the towels I use for drying my face aren't my 'nice' towels, but this is something to remember.	- You do tend to go through the toner more quickly than the other products.  I am going to take the advice of another reviewer and pick up the Thayers Witch Hazel to use in its place.	- Make sure you never use all four steps or you will likely dry your skin out.  It should be steps 1+2 and then 3 OR 4.		This has worked so well that my husband, who has always used Retinol A cream (which is not covered by insurance due to him not being a teenager) has decided to switch to this product.  I am very excited to have found this product and I am planning on using it long-term.  The price is great for the product - At this rate, it looks like I will go through a package about every 2-2.5 months which makes it less than half the cost of ProActiv for the same amount of product."
B000KK53L6,2011,3,5.0,2,2,269,"Only thing that works/ use it with Alba Moisturizer","I've always had acne, but even now at 30 years old, it started to get worse!  Nothing would work, and I found this by luck at a expensive store, and IT WORKED!  My skin is pretty tough, so it hasn't irritated my skin at all.  I don't know if this product helped, but I  use ALBA  aloe & green tea oil-free moisturizer after I put on the three step.  The moisturizer is EXPENSIVE, but it soothes the skin, and smells great! I also use Clearasil Ultra Rapid Ultra pad. To get that deep down clean just in case the face wash missing anything. For me my face has never been clearer.  Now that I've run out, I'm starting to break out again.  So I guess I should have some on backup for next time.  I put the codes for the other two products down below for anyone who wanted it.  So once again..		1. Wash your face with a face scub	2. Use the Clearasi Ultra Cleansing Pads to get that deep down clean or anything you missed	3. Use the Acne treatmen, and Repair Lotion	4. Use Alba Aloe & Green Tea Mosiurizer		After my face stared to clear up, I found that ANY face scrub will due, and you could actually skip the repair lotion and use the Alba Moisturizer by itself,, but Unfortunately you can't buy the acne medication by itself,, but regardless, it's worth it to get the best skin possible for me.		<a href=""http://www.amazon.com/gp/product/B001V9QL0C"">CLEARASIL ULTRA CLEANSING PADS 90 EACH</a>	<a href=""http://www.amazon.com/gp/product/B001ET7BPS"">Alba Botanica Aloe & Green Tea Oil Free Moisturizer, 3-Ounce Bottle (Pack of 2)</a>"
B000KK53L6,2011,1,5.0,2,2,35,"Wonderful Outcome!","Worked wonders that many others could not do!  Cleared in two weeks what even prescribed had not done after years of trying. My skin looks better now than it has looked in over 10 years!!!"
